0,0,0.785398
1.30809,0.365213,0.929052
2.72356,1.11059,0.921297
3.91874,1.2017,0.976799
5.14334,1.65144,1.04844
5.83317,1.94041,1.05706
6.58688,3.06343,1.08218
7.00418,3.8284,1.09094
7.45836,4.55391,1.09707
8.00419,5.57443,1.13045
8.58448,6.82827,1.05062
9.00159,7.09288,1.14206
9.52258,7.89105,1.16527
9.89545,8.82067,1.1311
10.2934,9.74774,1.07353
10.9683,10.7078,0.997602
11.7516,11.4659,1.128
12.1811,11.8727,1.11465
12.6706,13.207,1.12154
13.4341,14.0555,0.99928
14.0792,14.8833,1.10849
14.7451,15.6884,1.01674
15.3316,16.6366,1.18883
15.0784,17.6087,1.25998
15.4698,18.8661,1.24163
15.6722,19.8836,1.23779
15.974,20.9847,1.26769
16.3831,22.4358,1.29519
16.372,23.2565,1.27565
16.3632,24.4817,1.26771
16.3842,25.2484,1.25812
16.3752,25.9722,1.29306
16.4503,27.1186,1.25273
16.9211,28.5256,1.25028
17.07,29.2783,1.28516
17.3057,30.7386,1.27435
17.2795,31.4629,1.16853
18.0106,32.2887,1.25951
18.5048,33.4035,1.25055
18.532,34.3539,1.19568
18.989,35.8815,1.22781
19.3306,36.4206,1.31574
19.5656,37.4373,1.26221
19.5095,38.3071,1.22967
19.9307,39.4742,1.21362
20.5238,40.4208,1.22847
20.9924,41.4187,1.24287
21.26,42.3762,1.26103
21.6078,43.4976,1.24672
22.5589,44.2378,1.312
22.5023,45.1327,1.28127
22.8145,46.1133,1.27149
22.7248,47.0636,1.22239
23.4102,47.696,1.29584
23.649,49.0272,1.33
24.4602,50.2496,1.34855
23.628,50.7643,1.21928
23.9535,51.1163,1.27123
24.5477,52.3737,1.27316
24.7689,53.2372,1.24904
25.1427,54.4182,1.27621
25.5488,55.2778,1.2875
25.9875,55.9697,1.29066
26.4035,56.93,1.26424
26.7333,57.9349,1.28052
27.1137,58.9741,1.32943
27.44,59.8921,1.33044
27.629,61.0258,1.32004
27.9595,62.1206,1.32752
28.3204,63.001,1.32127
28.6754,63.8055,1.32893
29.1546,64.7638,1.37419
29.3984,65.5205,1.32497
29.6805,66.5049,1.3522
29.652,67.5752,1.26437
29.6641,68.299,1.22583
29.6883,69.1242,1.23495
30.0332,70.1024,1.17951
30.2995,71.0069,1.18276
30.8915,71.8502,1.18742
31.4272,72.7012,1.16692
31.8453,73.1892,1.16523
32.2614,73.6318,1.1137
33.242,74.812,1.16582
33.8683,76.0513,1.1496
34.4354,77.1041,1.15893
35.2292,78.7568,1.1259
35.1841,79.5145,1.11834
35.5517,80.3898,1.08599
36.1656,81.2901,1.20196
36.2994,81.7239,1.10585
36.3502,81.9822,1.09861
36.7215,83.1724,1.15559
37.1605,84.0575,1.14237
37.8671,85.0672,1.10189
38.1314,85.7868,1.11379
38.6686,86.6682,1.14016
39.2382,87.2626,1.08126
39.6423,87.9027,1.18419
40.2086,88.5978,1.16532
40.8033,89.167,1.15558
